"","nb_class","has_color","n","total_diag","ratio"
"1",1,FALSE,3196,3238,0.987029030265596
"2",1,TRUE,42,3238,0.012970969734404
"3",2,FALSE,4302,4376,0.98308957952468
"4",2,TRUE,74,4376,0.0169104204753199
"5",3,FALSE,3984,4105,0.970523751522533
"6",3,TRUE,121,4105,0.0294762484774665
"7",4,FALSE,5607,5800,0.966724137931035
"8",4,TRUE,193,5800,0.0332758620689655
"9",5,FALSE,6778,7003,0.967870912466086
"10",5,TRUE,225,7003,0.032129087533914
"11",6,FALSE,9806,11597,0.845563507803742
"12",6,TRUE,1791,11597,0.154436492196258
"13",7,FALSE,7134,7421,0.961325966850829
"14",7,TRUE,287,7421,0.0386740331491713
"15",8,FALSE,6636,6907,0.960764441870566
"16",8,TRUE,271,6907,0.0392355581294339
"17",9,FALSE,5606,5829,0.961743009092469
"18",9,TRUE,223,5829,0.0382569909075313
"19",10,FALSE,9074,9255,0.98044300378174
"20",10,TRUE,181,9255,0.0195569962182604
"21",11,FALSE,9797,10251,0.955711637888986
"22",11,TRUE,454,10251,0.0442883621110136
"23",12,FALSE,3445,4108,0.838607594936709
"24",12,TRUE,663,4108,0.161392405063291
"25",13,FALSE,2378,3045,0.780952380952381
"26",13,TRUE,667,3045,0.219047619047619
"27",14,FALSE,2040,2148,0.949720670391061
"28",14,TRUE,108,2148,0.0502793296089385
"29",15,FALSE,1624,1729,0.939271255060729
"30",15,TRUE,105,1729,0.0607287449392713
"31",16,FALSE,1380,1469,0.939414567733152
"32",16,TRUE,89,1469,0.0605854322668482
"33",17,FALSE,1106,1186,0.932546374367622
"34",17,TRUE,80,1186,0.0674536256323777
"35",18,FALSE,1081,1172,0.922354948805461
"36",18,TRUE,91,1172,0.0776450511945393
"37",19,FALSE,779,854,0.912177985948478
"38",19,TRUE,75,854,0.0878220140515222
"39",20,FALSE,896,954,0.939203354297694
"40",20,TRUE,58,954,0.0607966457023061
"41",21,FALSE,480,527,0.910815939278937
"42",21,TRUE,47,527,0.0891840607210626
"43",22,FALSE,2367,3186,0.742937853107345
"44",22,TRUE,819,3186,0.257062146892655
"45",23,FALSE,3834,3894,0.984591679506934
"46",23,TRUE,60,3894,0.0154083204930663
"47",24,FALSE,306,329,0.930091185410334
"48",24,TRUE,23,329,0.0699088145896656
"49",25,FALSE,293,316,0.927215189873418
"50",25,TRUE,23,316,0.0727848101265823
"51",26,FALSE,218,238,0.915966386554622
"52",26,TRUE,20,238,0.0840336134453782
"53",27,FALSE,195,209,0.933014354066986
"54",27,TRUE,14,209,0.0669856459330144
"55",28,FALSE,158,176,0.897727272727273
"56",28,TRUE,18,176,0.102272727272727
"57",29,FALSE,160,178,0.898876404494382
"58",29,TRUE,18,178,0.101123595505618
"59",30,FALSE,145,162,0.895061728395062
"60",30,TRUE,17,162,0.104938271604938
"61",31,FALSE,120,138,0.869565217391304
"62",31,TRUE,18,138,0.130434782608696
"63",32,FALSE,100,121,0.826446280991736
