"","nb_links","mean_inter"
"1",0,0
"2",1,0.0268107242897159
"3",2,0.129032258064516
"4",3,0.196246089676747
"5",4,0.211295681063123
"6",5,0.300346999100373
"7",6,0.47156862745098
"8",7,0.617652070199353
"9",8,0.433238460586561
"10",9,0.647944647944648
"11",10,0.290228203627853
"12",11,1.03934191702432
"13",12,1.13222179139201
"14",13,1.23011211959423
"15",14,1.52658227848101
"16",15,0.273893805309735
"17",16,1.89356435643564
"18",17,1.8006230529595
"19",18,2.0497311827957
"20",19,2.14368650217707
"21",20,2.00556586270872
"22",21,2.18421052631579
"23",22,0.911864406779661
"24",23,3.04204204204204
"25",24,2.84300341296928
"26",25,3.21538461538462
"27",26,3.51871657754011
"28",27,2.49740932642487
"29",28,2.55801104972376
"30",29,4.47933884297521
"31",30,3.53459119496855
"32",31,2.42424242424242
"33",32,3.19642857142857
"34",33,3.55652173913043
"35",34,2.58208955223881
"36",35,4.18965517241379
"37",36,4.26666666666667
"38",37,7.97872340425532
"39",38,3.56
"40",39,7.34090909090909
"41",40,2.87179487179487
"42",41,6.8
"43",42,4.17857142857143
"44",43,6.18421052631579
"45",44,4.80769230769231
"46",45,5.91666666666667
"47",46,3.17391304347826
"48",47,11.4705882352941
"49",48,5.60869565217391
"50",49,1.88
"51",50,5.38461538461539
"52",51,4.12
"53",52,9.09090909090909
"54",53,2.25
"55",54,9.66666666666667
"56",55,10.5
"57",56,4.58333333333333
"58",57,4.83333333333333
"59",58,9.22222222222222
"60",59,2.14285714285714
"61",60,1.33333333333333
"62",61,3.77777777777778
"63",62,0.75
"64",63,3.6
"65",64,5.4
"66",65,0.875
"67",66,2
"68",67,2.76
"69",68,7
"70",69,4.75
"71",70,11.6666666666667
"72",71,4
"73",72,23
"74",73,0
"75",74,0
"76",75,0
"77",77,0
"78",78,7
"79",79,6.2
"80",81,7.25
"81",82,0
"82",84,4.66666666666667
"83",85,6.5
"84",87,1
"85",88,0
"86",89,4.5
"87",90,10
"88",91,0.5
"89",93,16
"90",95,0
"91",99,0
"92",100,0
"93",102,0
"94",104,1
"95",105,30
"96",108,2
"97",113,0
"98",116,0
"99",121,0
"100",122,0
"101",123,0
"102",139,0
"103",143,48
"104",238,0
"105",240,0
