"","nb_class","mean_max_connect"
"1",1,-0.713712168004941
"2",2,-0.218921389396709
"3",3,1.28501827040195
"4",4,2.05103448275862
"5",5,2.55761816364415
"6",6,2.72604984047598
"7",7,3.21546961325967
"8",8,3.49153033154771
"9",9,3.79378967232801
"10",10,3.42614802809292
"11",11,3.42825090235099
"12",12,4.66845180136319
"13",13,4.40328407224959
"14",14,4.27793296089385
"15",15,4.82012724117987
"16",16,4.86929884275017
"17",17,4.87352445193929
"18",18,4.95477815699659
"19",19,4.98946135831382
"20",20,5.31236897274633
"21",21,5.32068311195446
"22",22,3.20527306967985
"23",23,2.40190035952748
"24",24,4.64133738601824
"25",25,5.53481012658228
"26",26,6.06302521008403
"27",27,6.66985645933014
"28",28,6.30681818181818
"29",29,5.55056179775281
"30",30,5.75308641975309
"31",31,5.34782608695652
"32",32,5.57851239669422
"33",33,1.22123613312203
"34",34,6.79746835443038
"35",35,6.5632183908046
"36",36,5.63953488372093
"37",37,7.25352112676056
"38",38,6.70833333333333
"39",39,5.82258064516129
"40",40,6.22727272727273
"41",41,8
"42",42,7.23913043478261
"43",43,7.5609756097561
"44",44,9.04166666666667
"45",45,8.36
"46",46,3.07142857142857
"47",47,6.6875
"48",48,6.17142857142857
"49",49,3.2
"50",50,6.08
"51",51,6.26666666666667
"52",52,5.33333333333333
"53",53,8.4
"54",54,7.61538461538461
"55",55,8.75
"56",56,7.77777777777778
"57",57,11.0909090909091
"58",58,10.625
"59",59,3.7
"60",60,7.18181818181818
"61",61,8
"62",62,10.0769230769231
"63",63,7.32608695652174
"64",64,4.92
"65",65,9.8
"66",66,6.6
"67",67,9.27272727272727
"68",68,7.5
"69",69,16.6666666666667
"70",70,6.8
"71",71,11.4285714285714
"72",72,7.28571428571429
"73",73,7
"74",74,10.4
"75",75,9.44444444444444
"76",76,9
"77",77,13.5
"78",78,2
"79",79,4.75
"80",80,3
"81",81,6.6
"82",82,2
"83",83,9.25
"84",84,4.66666666666667
"85",85,4
"86",87,5.5
"87",88,6
"88",89,10
"89",90,9
"90",91,8
"91",92,5.26666666666667
"92",94,10
"93",97,10.6
"94",98,7
"95",99,18
