"","nb_class","n"
"1",1,3238
"2",2,4376
"3",3,4105
"4",4,5800
"5",5,7003
"6",6,11597
"7",7,7421
"8",8,6907
"9",9,5829
"10",10,9255
"11",11,10251
"12",12,4108
"13",13,3045
"14",14,2148
"15",15,1729
"16",16,1469
"17",17,1186
"18",18,1172
"19",19,854
"20",20,954
"21",21,527
"22",22,3186
"23",23,3894
"24",24,329
"25",25,316
"26",26,238
"27",27,209
"28",28,176
"29",29,178
"30",30,162
"31",31,138
"32",32,121
"33",33,3155
"34",34,79
"35",35,87
"36",36,86
"37",37,71
"38",38,72
"39",39,62
"40",40,66
"41",41,47
"42",42,46
"43",43,41
"44",44,24
"45",45,25
"46",46,56
"47",47,32
"48",48,35
"49",49,25
"50",50,25
"51",51,15
"52",52,15
"53",53,15
"54",54,13
"55",55,8
"56",56,18
"57",57,11
"58",58,16
"59",59,10
"60",60,11
"61",61,4
"62",62,13
"63",63,92
"64",64,25
"65",65,10
"66",66,5
"67",67,11
"68",68,12
"69",69,3
"70",70,5
"71",71,7
"72",72,7
"73",73,3
"74",74,10
"75",75,9
"76",76,4
"77",77,4
"78",78,1
"79",79,4
"80",80,1
"81",81,5
"82",82,1
"83",83,4
"84",84,3
"85",85,4
"86",87,4
"87",88,3
"88",89,1
"89",90,1
"90",91,1
"91",92,15
"92",94,2
"93",97,5
"94",98,1
"95",99,2
