"","nb_links","n"
"1",0,8505
"2",1,2499
"3",2,3596
"4",3,4795
"5",4,7525
"6",5,7781
"7",6,6120
"8",7,5869
"9",8,8081
"10",9,4915
"11",10,10254
"12",11,2797
"13",12,2579
"14",13,1873
"15",14,1580
"16",15,6780
"17",16,1213
"18",17,964
"19",18,744
"20",19,691
"21",20,539
"22",21,456
"23",22,1180
"24",23,334
"25",24,297
"26",25,200
"27",26,189
"28",27,194
"29",28,183
"30",29,121
"31",30,159
"32",31,101
"33",32,113
"34",33,119
"35",34,72
"36",35,60
"37",36,60
"38",37,47
"39",38,50
"40",39,46
"41",40,40
"42",41,32
"43",42,29
"44",43,40
"45",44,32
"46",45,24
"47",46,23
"48",47,18
"49",48,23
"50",49,25
"51",50,13
"52",51,26
"53",52,11
"54",53,8
"55",54,9
"56",55,6
"57",56,12
"58",57,7
"59",58,10
"60",59,7
"61",60,7
"62",61,10
"63",62,52
"64",63,5
"65",64,5
"66",65,25
"67",66,5
"68",67,25
"69",68,3
"70",69,6
"71",70,3
"72",71,1
"73",72,3
"74",73,5
"75",74,3
"76",75,2
"77",77,1
"78",78,2
"79",79,5
"80",81,6
"81",82,2
"82",83,2
"83",84,3
"84",85,2
"85",87,1
"86",88,4
"87",89,2
"88",90,2
"89",91,2
"90",93,1
"91",95,3
"92",96,2
"93",99,1
"94",100,3
"95",102,1
"96",104,1
"97",105,1
"98",108,1
"99",113,2
"100",116,1
"101",121,3
"102",122,1
"103",123,1
"104",139,1
"105",143,1
"106",238,2
"107",240,1
