"","attribute","moy_ope","n"
"1",0,2.1769574244191,105483
"2",1,1.44919593773013,58391
"3",2,1.58977248170901,64786
"4",3,1.67411309682582,44988
"5",4,2.08785677359671,36753
"6",5,2.46437420986094,19775
"7",6,2.72854025863445,18791
"8",7,2.62312259867272,8589
"9",8,3.33408626438636,9297
"10",9,3.34897360703812,5115
"11",10,5.29777777777778,4950
"12",11,3.51438848920863,1946
"13",12,6.29700540009818,4074
"14",13,4.69385884509624,1091
"15",14,5.30378973105134,1636
"16",15,6.16160849772382,1318
"17",16,6.38176833447567,1459
"18",17,7.43652561247216,449
"19",18,6.77877697841727,1112
"20",19,7.68571428571429,315
"21",20,8.47890535917902,877
"22",21,6.50471698113208,424
"23",22,7.93465909090909,352
"24",23,7.00645161290323,155
"25",24,9.29147286821705,645
"26",25,9.07692307692308,208
"27",26,10.0115384615385,260
"28",27,9.45971563981043,211
"29",28,14.4448160535117,299
"30",29,8.12345679012346,81
"31",30,11.7962962962963,324
"32",31,8.08474576271187,59
"33",32,10.4131736526946,167
"34",33,13.7692307692308,130
"35",34,22.6463414634146,82
"36",35,13.9734513274336,113
"37",36,17.6042780748663,187
"38",37,10.24,25
"39",38,15.0967741935484,62
"40",39,20.6451612903226,62
"41",40,18.4678899082569,109
"42",41,34.8666666666667,30
"43",42,18.5480769230769,104
"44",43,20.8235294117647,17
"45",44,12.0161290322581,62
"46",45,17.3225806451613,62
"47",46,15.8620689655172,29
"48",47,15.4666666666667,15
"49",48,15.7142857142857,98
"50",49,35.3125,16
"51",50,16.9268292682927,41
"52",51,19.2727272727273,44
"53",52,29.2340425531915,47
"54",53,31.5,18
"55",54,30.695652173913,46
"56",55,15.9565217391304,23
"57",56,29.2325581395349,43
"58",57,13.9090909090909,33
"59",58,23.4,20
"60",59,49.2727272727273,11
"61",60,29.3636363636364,55
"62",62,25.125,16
"63",63,34.5714285714286,21
"64",64,40.1,30
"65",65,13.0909090909091,11
"66",66,44.3030303030303,33
"67",67,0,3
"68",68,31.9,10
"69",69,14.4545454545455,11
"70",70,31.7333333333333,15
"71",71,4.8,5
"72",72,36.1282051282051,39
"73",73,44,2
"74",74,9.25,4
"75",75,7.71428571428571,14
"76",76,35.375,8
"77",77,1.5,4
"78",78,41.3125,16
"79",80,19.7777777777778,9
"80",81,11.6666666666667,6
"81",82,36.8,5
"82",83,45.5,4
"83",84,37.6666666666667,24
"84",86,0.333333333333333,3
"85",88,48.7142857142857,14
"86",89,18,2
"87",90,47.6666666666667,9
"88",91,45.8571428571429,14
"89",93,44.0833333333333,12
"90",95,27.5,4
"91",96,33.4615384615385,13
"92",97,12,2
"93",98,29,5
