"","type_total","n"
"1","attribute",1695402
"2","operation",1015656
"3","class",926588
"4","association regular",356090
"5","generalization",210520
"6","association composite",122052
"7","interface",76849
"8","package",70174
"9","association shared",60469
"10","dependency",46862
"11","enumeration",38248
"12","usage",25555
"13","datatype",12948
"14","association_class ",4361
"15","uml:UseCase",607
"16","uml:InformationFlow",584
"17","interface_realization",456
"18","instance_specification",314
"19","uml:Actor",293
"20","uml:Component",169
"21","uml:Node",58
"22","uml:CommunicationPath",35
"23","uml:Device",23
"24","uml:Artifact",13
"25","enumeration_literal",9
"26","uml:ExecutionEnvironment",2
"27","uml:StateMachine",2
"28","uml:Activity",1
